Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
AMZN ,0.607135012,0.296,0.311135012,11448,0.195488722,0,0,4964,1.560082517,-2.28712522,107410.98,1.758155271,37.8874709,271.9265316,0.5102038,61093,0.270732,15122,0.247524266,2835,0.046404662,0.457583548,-39,-0.000638371,-1.061806656,0.3785,-0.722588684,4180,0.070971048,-3785,1.090005522,395,-0.811185468,-0.004891,-0.001349,-0.001696,-0.000942,0.011065,#VALUE!,5.147,0.6025,1.1207,0.7795,1.1044,0.118833688,691097.2851,-1563.360708,2.112738402,60.59570313,1.860182181,0.074705776,37.73183338,0.011065097,92,7.347826087,662.7252386,13272,0.001508921
LYB ,0.341680266,0.296,0.045680266,2732,1.565258216,40,-0.259259259,4400,0.091269841,0.294751723,34547.1219,0.761755202,6.104810373,9.269418272,0.605436039,45352,-0.058755,5757,0.126940377,5659,0.124779503,0.074221716,2848,0.062797672,0.335208626,5.2754,0.041005604,4787,0.673776224,-1060,0.00952381,3727,1.059116022,0.262102,0.12104,0.216889,0.192131,0.103105,0.041706,4.6622,0.5361,2.4109,1.2661,4.516,0.143642659,3359407.407,990.0527624,1.927452772,39.35951337,0.721303801,0.003792556,28.24314783,0.103104604,655,7.138931298,10.82187691,17407,0.092405413
AXP ,0.519894703,0.296,0.223894703,22250,-0.106174427,0,0,62287,-0.011223291,4.141187422,103552.4,3.065403629,10.71083988,17.17571737,0.1133843,33781,0.046435,—,0,9668,0.286196383,-0.05159898,4433,0.131227613,-0.091039574,4.1775,0.122953684,7082,-0.274979525,-1053,-0.114381833,6029,-0.29723744,0.235297,0.029249,0.055007,0.081157,0.204437,0.187102,—,—,—,—,6.7255,0.063739226,531984.252,1649.080147,0.220447211,329.8051467,1.931257216,#VALUE!,76.73364296,#VALUE!,#N/A N/A,#N/A N/A,13.75953419,80044,0.072676879
VZ ,0.13702284,0.296,-0.15897716,3563,-0.744661029,52376,0.048820537,51987,-0.057386858,1.634841323,224490.2858,1.937833726,7.579010324,14.66202637,0.095947438,115846,0.044834,69571,0.600547278,29620,0.25568427,0.0083061,875,0.007553131,-0.636023295,2.1898,0.018511628,31486,0.05728677,-16175,-0.004247722,15311,0.131131797,0.025316,0.00384,0.087789,0.10831,0.113599,-0.142248,1.784,0.1322,0.7878,0.5987,1.9466,0.062516042,631657.5791,5716.273385,0.508449953,60.78004981,1.065632909,0,37.80322862,0.113599088,2571,5.118630883,19.75956983,162984,0.050608389
AVGO ,0.341411922,0.296,0.045411922,1084,0.307599517,0,0,3,-0.5,-1.466757123,7223.5035,3.055627538,9.801225916,15.98120243,-0.028952069,2364,0.011986,1142,0.483079526,737,0.311759729,-0.005398111,563,0.238155668,0.019927536,2.278,-0.003150709,693,-0.045454545,-241,1.151785714,452,-0.263843648,0.254463,0.212133,0.254381,0.255632,0.246193,0.192542,14.415,3.1329,4.8873,4.1185,2.8755,0.125304682,656666.6667,250.6200066,0.890730972,0.124018189,3.50607022,0.141708968,0.123864575,0.246192893,1,582,14.85074627,2405,0.067336683
BA ,0.791394194,0.296,0.495394194,13558,0.202803407,100,0.075268817,10409,-0.158596718,-0.388717442,53895.3168,0.659689549,6.652921466,9.2842923,-0.034412622,81698,0.188594,13033,0.159526549,8101,0.099157874,0.079557569,3900,0.047736787,-0.029367845,5.2096,0.089395872,7508,0.866268954,-1703,-0.005837712,5805,1.512987013,0.831379,0.046186,0.259119,0.278392,0.076991,0.541685,2.3839,0.3014,1.274,0.4342,4.4087,0.100729781,468451.8349,-1310.193459,0.96751578,174.4427686,0.697074004,0.040368185,63.56253053,0.076990869,442,14.23076923,14.46569082,20861,0.069129087
CAT ,-0.0132418,0.296,-0.3092418,5490,0.795878312,-27423,0.153244459,40143,0.160470629,3.043474442,65927.9129,1.000803232,5.790261101,610.443638,-0.007446392,65875,0.095397,18023,0.273593928,11386,0.172842505,0.176239669,5681,0.086239089,0.152800325,8.5487,0.049499724,5184,-0.260485021,-5076,0.293577982,108,-0.96500324,0.373566,0.066672,0.114372,0.120802,0.13014,0.286832,2.4257,0.1866,1.4325,0.8077,1.0213,0.082687924,525566.2553,179.5827117,0.773108159,228.3187351,0.887719273,0.037434535,69.54179298,0.130140417,467,18.35760171,10.48212254,57725,0.095400526
JPM ,0.313296074,0.296,0.017296074,590850,0.130473714,9058,0.161282051,695583,0.028146114,0,—,0,0,0,0,108184,-0.023945,—,0,—,0,0,19877,0.183733269,0.131432149,5.9074,0.140050563,25079,-0.738575241,0,0,25079,-0.738575241,0.107216,0.009204,0.02419,0.028353,0.298018,0.081708,—,—,—,—,—,0.041710288,418097.568,-251.2538533,0.046782948,340.856769,1.548250811,#VALUE!,77.31689587,#VALUE!,#N/A N/A,#N/A N/A,7.44305156,910328,0.134353496
CVX ,0.13543988,0.296,-0.16056012,21205,0.316018122,1308,0.637046308,12192,0.200945626,-0.186119027,202810.9097,0.91118209,4.188058268,25.75703705,-0.013729484,222580,-0.058006,41465,0.186292569,48426,0.217566718,-0.054364382,26179,0.117616138,-0.026622049,12.1208,-0.074966993,38812,-0.055554204,-30938,0.167471698,7874,-0.460500171,0.203012,0.118335,0.186544,0.14133,0.157305,0.149938,3.9078,0.6198,1.6287,1.2335,1.2545,0.106337856,3590000,1766.378803,1.006111342,8.845551106,0.947403181,0.002911313,8.126699728,0.157305239,0,#N/A N/A,8.92186144,154445,0.112084233
KO ,0.122501339,0.296,-0.173498661,16551,0.17926612,378,0.321678322,32610,0.141486978,1.258443696,178438.25,3.716147406,13.98309302,22.68763509,0.030475319,48017,0.031692,28964,0.603203032,12761,0.265760043,0.052280036,9019,0.18782931,0.050675676,2.0459,0.060601348,10645,0.123601436,-2780,-0.047945205,7865,0.200030516,0.279984,0.108566,0.148756,0.129578,0.224483,0.137367,4.6934,0.5949,1.0901,0.766,3.8291,0.067772284,318204.1087,3607.134721,0.578002745,98.31765557,3.400254077,0,49.57584603,0.224482996,397,27.1511335,17.71822499,66302,0.056439062
